"category_name","type","competition_count"
"ATP","doubles","108"
"ATP","mixed","2"
"ATP","mixed_doubles","6"
"ATP","singles","109"
"Billie Jean King Cup","mixed","1"
"Challenger","doubles","471"
"Challenger","singles","472"
"Davis Cup","mixed","1"
"Exhibition","doubles","8"
"Exhibition","mixed_doubles","2"
"Exhibition","singles","22"
"Hopman Cup","mixed","1"
"IPTL","singles","1"
"ITF Men","doubles","1099"
"ITF Men","singles","1099"
"ITF Women","doubles","1018"
"ITF Women","singles","1014"
"Juniors","doubles","8"
"Juniors","singles","8"
"Legends","doubles","8"
"Legends","mixed_doubles","3"
"United Cup","mixed","1"
"UTR Men","singles","169"
"UTR Women","singles","146"
"Wheelchairs","doubles","8"
"Wheelchairs","singles","8"
"Wheelchairs Juniors","doubles","2"
"Wheelchairs Juniors","singles","4"
"WTA","doubles","127"
"WTA","singles","128"
"WTA 125K","doubles","101"
"WTA 125K","singles","102"
